X,Y,Z,X_r,Y_r,Z_r,formation,series,id,order_series,smooth,group,X_s,Y_s,Z_s,T,is_new,
454564.4,6782281,-5506.7534,0.603253021,0.424923082,0.540026703,fault3,fault3,1,1,1e-06,fault3,0.7063060414523039,0.056382688,0.23437382667310758,0,FALSE,
454666.88,6782183,-5638.475,0.61401298,0.414633504,0.526196502,fault3,fault3,1,1,1e-06,fault3,0.727825959,0.035803532,0.20671342474958615,0,FALSE,
454579.56,6782074,-5627.645,0.604844755,0.403188973,0.527333605,fault3,fault3,1,1,1e-06,fault3,0.709489511,0.012914470506709288,0.20898763150710908,0,FALSE,
454822.47,6782177.5,-5737.794,0.63034926,0.414056028,0.515768434,fault3,fault3,1,1,1e-06,fault3,0.7604985195606909,0.034648579,0.18585729,0,FALSE,
454961.47,6782067.5,-5801.1367,0.644943661,0.402506501,0.509117723,fault3,fault3,1,1,1e-06,fault3,0.7896873228197575,0.011549526,0.17255586820940422,0,FALSE,
454338.4,6782244,-5376.1533,0.579523994,0.421038242,0.553739151,fault3,fault3,1,1,1e-06,fault3,0.6588479872325267,0.048613006866718704,0.2617987232523479,0,FALSE,
455007.6,6782303,-5799.7114,0.649787113,0.427232988,0.509267374,fault3,fault3,1,1,1e-06,fault3,0.7993742256567422,0.061002499,0.17285516893807432,0,FALSE,
455298.78,6782241,-5997.9233,0.680359759,0.420723254,0.488455977,fault3,fault3,1,1,1e-06,fault3,0.8605195186997385,0.047983033,0.13123237647256514,0,FALSE,
454820.88,6782277,-5688.905,0.630182317,0.424503099,0.520901569,fault3,fault3,1,1,1e-06,fault3,0.7601646332500366,0.055542722748367586,0.19612355893408467,0,FALSE,
454233.06,6782707,-5409.957,0.568463747,0.469651248,0.550189908,fault3,fault3,1,1,1e-06,fault3,0.6367274941727367,0.1458390206001561,0.25470023729027225,0,FALSE,
454443.16,6782394,-5507.841,0.590523343,0.436787596,0.539912509,fault3,fault3,1,1,1e-06,fault3,0.6808466852858963,0.080111715,0.2341454400369595,0,FALSE,
454598.1,6782482,-5659.863,0.606791376,0.446027217,0.523950854,fault3,fault3,1,1,1e-06,fault3,0.7133827513071901,0.098590958,0.2022221288927163,0,FALSE,
454632.16,6782379,-5681.564,0.610367529,0.43521266,0.521672342,fault3,fault3,1,1,1e-06,fault3,0.7205350580626126,0.076961845,0.1976651057306659,0,FALSE,
454915.44,6782383,-5808.056,0.64011071,0.435632643,0.508391227,fault3,fault3,1,1,1e-06,fault3,0.7800214191218154,0.07780181,0.17110287478213482,0,FALSE,
454803.4,6782382.5,-5835.7207,0.628346992,0.435580145,0.505486552,fault3,fault3,1,1,1e-06,fault3,0.7564939837466701,0.077696814,0.1652935259654362,0,FALSE,
454647.88,6782637.5,-5608.7065,0.612018061,0.462354048,0.529322066,fault3,fault3,1,1,1e-06,fault3,0.7238361227189681,0.13124461897062284,0.21296455345330936,0,FALSE,
454915.2,6782498,-5798.543,0.640085511,0.447707148,0.509390051,fault3,fault3,1,1,1e-06,fault3,0.7799710211881327,0.10195082001637983,0.17310052287856284,0,FALSE,
454746.47,6782549.5,-5675.5166,0.622369587,0.453114426,0.522307293,fault3,fault3,1,1,1e-06,fault3,0.7445391738938633,0.11276537661955915,0.1989350076646867,0,FALSE,
455282.47,6782688,-6193.331,0.67864728,0.46765633,0.46793901,fault3,fault3,1,1,1e-06,fault3,0.8570945591230694,0.14184918418344916,0.090198442,0,FALSE,
454611.44,6782867,-5498.267,0.608192018,0.48645056,0.540917738,fault3,fault3,1,1,1e-06,fault3,0.7161840364545045,0.17943764305663557,0.23615589760819922,0,FALSE,
454936.5,6782729.5,-5794.6543,0.642321919,0.472013652,0.509798347,fault3,fault3,1,1,1e-06,fault3,0.784443838,0.15056382688309852,0.17391711639822843,0,FALSE,
455123.8,6782847,-5925.7314,0.661987613,0.484350646,0.496035816,fault3,fault3,1,1,1e-06,fault3,0.8237752252157629,0.17523781524957563,0.14639205392578977,0,FALSE,
454385.62,6783044,-5468.2466,0.58448189,0.505034798,0.544069751,fault3,fault3,1,1,1e-06,fault3,0.6687637806849893,0.21660611914911596,0.24245992314315218,0,FALSE,
454562.5,6783137,-5585.762,0.603053529,0.514799397,0.53173114,fault3,fault3,1,1,1e-06,fault3,0.7059070578106283,0.23613531845194463,0.2177827009092638,0,FALSE,
454924.3,6782926,-5711.4897,0.641040971,0.492645306,0.518530272,fault3,fault3,1,1,1e-06,fault3,0.7818819428403401,0.19182713508746235,0.19138096638037927,0,FALSE,
455141.78,6782995.5,-5946.782,0.663875435,0.499942506,0.493825594,fault3,fault3,1,1,1e-06,fault3,0.8275508704143181,0.20642153671699562,0.1419716091640249,0,FALSE,
454053.7,6783334,-5469.032,0.549631719,0.535483549,0.543987287,fault3,fault3,1,1,1e-06,fault3,0.5990634383990261,0.27750362235148496,0.242294996,0,FALSE,
454248.44,6783115,-5522.712,0.570078581,0.512489492,0.538351118,fault3,fault3,1,1,1e-06,fault3,0.6399571617563667,0.2315155078641787,0.23102265807102007,0,FALSE,
454813.53,6783063,-5689.5215,0.629410598,0.507029716,0.520836839,fault3,fault3,1,1,1e-06,fault3,0.758621197,0.22059595556582287,0.19599409924193203,0,FALSE,
454413.97,6783275,-5756.4873,0.587458518,0.529288803,0.513805718,fault3,fault3,1,1,1e-06,fault3,0.6747170366014918,0.26511413032065817,0.18193185779383134,0,FALSE,
455063.12,6783121,-6032.0254,0.655616474,0.513119466,0.484875404,fault3,fault3,1,1,1e-06,fault3,0.8110329476491445,0.2327754562062967,0.1240712290796082,0,FALSE,
454881.25,6783184.5,-5916.4873,0.636520907,0.519786693,0.497006407,fault3,fault3,1,1,1e-06,fault3,0.772841813,0.24610990949371195,0.1483332353373519,0,FALSE,
454360,6783361.5,-5692.652,0.581791901,0.538370931,0.52050815,fault3,fault3,1,1,1e-06,fault3,0.6633838012641465,0.28327838558619234,0.19533672119443193,0,FALSE,
454216.62,6783393,-5603.0283,0.566737618,0.541678295,0.529918252,fault3,fault3,1,1,1e-06,fault3,0.633275236,0.28989311438231175,0.21415692656601182,0,FALSE,
455234.8,6783247.5,-6562.87,0.673642135,0.526401422,0.429139006,fault3,fault3,1,1,1e-06,fault3,0.8470842695449454,0.25933936708595073,0.012598433464228006,0,FALSE,
455010.28,6783235.5,-6236.743,0.650068501,0.525141473,0.463380937,fault3,fault3,1,1,1e-06,fault3,0.799937003,0.25681947040171477,0.081082296,0,FALSE,
454652.2,6783242.5,-5921.4062,0.612471643,0.525876443,0.496489944,fault3,fault3,1,1,1e-06,fault3,0.7247432855252945,0.25828941013418577,0.14730030868734442,0,FALSE,
454121.78,6783620.5,-5524.13,0.556779826,0.565564816,0.538202234,fault3,fault3,1,1,1e-06,fault3,0.6133596522542616,0.3376661556876185,0.2307248902794996,0,FALSE,
455204.8,6783376,-6516.244,0.670492264,0.539893368,0.434034535,fault3,fault3,1,1,1e-06,fault3,0.8407845278343555,0.2863232607463108,0.022389492030826866,0,FALSE,
454909.78,6783288,-6292.739,0.639516434,0.530653747,0.457501598,fault3,fault3,1,1,1e-06,fault3,0.7788328678524228,0.26784401839524713,0.069323618,0,FALSE,
454598.97,6783338.5,-5962.7134,0.606882722,0.53595603,0.492152865,fault3,fault3,1,1,1e-06,fault3,0.7135654438167962,0.27844858360807345,0.13862615232775527,0,FALSE,
454891.4,6783382.5,-6263.77,0.637586613,0.54057584,0.460543218,fault3,fault3,1,1,1e-06,fault3,0.7749732260977338,0.2876882047836053,0.075406858,0,FALSE,
454548.12,6783398,-5933.932,0.601543691,0.542203274,0.495174788,fault3,fault3,1,1,1e-06,fault3,0.7028873816173512,0.2909430713340767,0.14466999853006096,0,FALSE,
454352.03,6783495.5,-5776.1006,0.580955085,0.552440354,0.511746406,fault3,fault3,1,1,1e-06,fault3,0.66171017,0.3114172318934939,0.1778132336574209,0,FALSE,
454562.84,6783490,-6015.3594,0.603089227,0.551862878,0.486625262,fault3,fault3,1,1,1e-06,fault3,0.7059784548833538,0.3102622792465524,0.12757094559123128,0,FALSE,
454849.78,6783469.5,-6273.643,0.633216692,0.549710466,0.459506596,fault3,fault3,1,1,1e-06,fault3,0.766233384,0.305957456,0.073333613,0,FALSE,
455175.4,6783523,-6491.297,0.66740539,0.555327736,0.436653863,fault3,fault3,1,1,1e-06,fault3,0.8346107809579848,0.3171919951282013,0.027628147245963096,0,FALSE,
454834.34,6783582,-6161.292,0.631595559,0.561522482,0.471302967,fault3,fault3,1,1,1e-06,fault3,0.7629911173641923,0.3295814871590281,0.096926356,0,FALSE,
454535.72,6783625,-5822.006,0.600241744,0.566037297,0.506926537,fault3,fault3,1,1,1e-06,fault3,0.7002834883769692,0.3386111169442069,0.16817349488671035,0,FALSE,
454422.7,6783812.5,-5584.444,0.588375131,0.585723989,0.531869524,fault3,fault3,1,1,1e-06,fault3,0.6765502614392819,0.3779845026353938,0.2180594695617489,0,FALSE,
454699.7,6783786.5,-5931.901,0.617458938,0.582994101,0.495388035,fault3,fault3,1,1,1e-06,fault3,0.7347178765670619,0.3725247264862159,0.1450964910438679,0,FALSE,
454303.84,6783976.5,-5465.7,0.575895342,0.602943283,0.544337133,fault3,fault3,1,1,1e-06,fault3,0.6515906847819276,0.41242309065328525,0.24299468721782524,0,FALSE,
454270.16,6783792,-5465.8623,0.572359087,0.583571578,0.544320092,fault3,fault3,1,1,1e-06,fault3,0.644518175,0.37367967913315736,0.24296060561517097,0,FALSE,
454863.75,6783682,-6107.508,0.634683482,0.572022051,0.476950056,fault3,fault3,1,1,1e-06,fault3,0.7691669641544685,0.3505806261943277,0.10822053295814923,0,FALSE,
454972.84,6783859.5,-6177.488,0.646137462,0.590658787,0.469602457,fault3,fault3,1,1,1e-06,fault3,0.7920749249280823,0.3878540979819846,0.093525335,0,FALSE,
454681.53,6783902.5,-5886.5005,0.615551167,0.595173602,0.500154892,fault3,fault3,1,1,1e-06,fault3,0.7309023330043514,0.39688372776716346,0.15463020516158907,0,FALSE,
452356.84,6782235.5,-6112.7705,0.371468724,0.420145778,0.476397516,fault4,fault4,2,2,1e-06,fault4,0.24273744776464332,0.04682808,0.10711545326641664,0,FALSE,
452330.9,6782069.5,-6059.2236,0.368745136,0.402716493,0.48201971,fault4,fault4,2,2,1e-06,fault4,0.23729027109888612,0.011969509250120804,0.11835984124650938,0,FALSE,
452083.03,6782102.5,-5900.289,0.342719853,0.406181351,0.498707159,fault4,fault4,2,2,1e-06,fault4,0.18523970517208982,0.018899225,0.15173473887570685,0,FALSE,
452574.47,6782159,-6264.5083,0.394318937,0.412113607,0.4604657,fault4,fault4,2,2,1e-06,fault4,0.2884378740471547,0.030763738686713994,0.075251822,0,FALSE,
452869.78,6782065,-6392.704,0.425325216,0.402244012,0.447005703,fault4,fault4,2,2,1e-06,fault4,0.35045043153230987,0.011024548,0.048331828,0,FALSE,
452661.7,6782023.5,-6301.994,0.403477712,0.397886691,0.456529863,fault4,fault4,2,2,1e-06,fault4,0.3067554230276549,0.002309905,0.067380147,0,FALSE,
452215.6,6782317,-5980.946,0.356639132,0.428702927,0.490238521,fault4,fault4,2,2,1e-06,fault4,0.21307826379117584,0.063942378,0.13479746330400516,0,FALSE,
452643.62,6782279,-6378.965,0.401579389,0.424713091,0.448448239,fault4,fault4,2,2,1e-06,fault4,0.3029587786900693,0.055962705529073585,0.051216900107095786,0,FALSE,
451964.88,6782377.5,-5844.9414,0.330314611,0.435055167,0.504518418,fault4,fault4,2,2,1e-06,fault4,0.1604292224018784,0.076646857,0.16335725835240836,0,FALSE,
452104.88,6782323,-5856.252,0.345014009,0.429332901,0.503330854,fault4,fault4,2,2,1e-06,fault4,0.18982801705129793,0.065202327,0.1609821297326816,0,FALSE,
452061.97,6782256,-5805.6333,0.340508643,0.42229819,0.5086456,fault4,fault4,2,2,1e-06,fault4,0.18081728649124398,0.051132903550954664,0.17161162092354285,0,FALSE,
451901.1,6782252.5,-5740.6943,0.323617986,0.421930705,0.515463915,fault4,fault4,2,2,1e-06,fault4,0.1470359715251584,0.050397933684719176,0.18524825182167615,0,FALSE,
452128.62,6782438,-6048.193,0.347506606,0.441407406,0.483177875,fault4,fault4,2,2,1e-06,fault4,0.19481321265827609,0.089351337,0.12067617227693715,0,FALSE,
452991.2,6782160,-6533.881,0.438073793,0.412218603,0.432182726,fault4,fault4,2,2,1e-06,fault4,0.3759475861489673,0.030973730077066993,0.018685873879170933,0,FALSE,
452383.2,6782401,-6219.8447,0.37423641,0.437522566,0.465155186,fault4,fault4,2,2,1e-06,fault4,0.24827282081434537,0.081581655,0.084630793,0,FALSE,
451728.78,6782549.5,-5834.132,0.305525128,0.453114426,0.505653359,fault4,fault4,2,2,1e-06,fault4,0.1108502551395408,0.11276537661955915,0.16562713928729006,0,FALSE,
451746.2,6782440.5,-5715.0103,0.307354153,0.441669896,0.518160625,fault4,fault4,2,2,1e-06,fault4,0.11450830515948658,0.089876315,0.19064167069150256,0,FALSE,
452680.12,6782503,-6452.5884,0.405411732,0.448232127,0.440718099,fault4,fault4,2,2,1e-06,fault4,0.3106234644379537,0.10300077696814482,0.03575662,0,FALSE,
452202.06,6782703,-6170.172,0.35521749,0.469231266,0.470370605,fault4,fault4,2,2,1e-06,fault4,0.21023498036580066,0.1449990550387441,0.095061632,0,FALSE,
452145.2,6782610,-6113.8506,0.349247435,0.459466666,0.47628411,fault4,fault4,2,2,1e-06,fault4,0.1982948699103322,0.12546985573591543,0.10688864156569633,0,FALSE,
451916.9,6782696,-5918.8823,0.325276918,0.468496296,0.496754942,fault4,fault4,2,2,1e-06,fault4,0.15035383549274553,0.14352911530627316,0.1478303059574564,0,FALSE,
452395.9,6782504,-6272.747,0.375569856,0.448337122,0.459600672,fault4,fault4,2,2,1e-06,fault4,0.25093971147183086,0.10321076835849781,0.073521766,0,FALSE,
452511.78,6782625,-6378.3223,0.387736757,0.461041601,0.44851572,fault4,fault4,2,2,1e-06,fault4,0.2752735137859371,0.12861972659121038,0.051351861573675724,0,FALSE,
451753.66,6782822,-5934.5835,0.30813742,0.481725753,0.495106384,fault4,fault4,2,2,1e-06,fault4,0.1160748409315121,0.1699880304907507,0.144533189,0,FALSE,
452706.38,6782993,-6446.252,0.408168919,0.499680017,0.441383394,fault4,fault4,2,2,1e-06,fault4,0.31613783834862536,0.2058965582411131,0.037087209424413646,0,FALSE,
452662.6,6782725.5,-6437.2188,0.403572208,0.471593669,0.442331841,fault4,fault4,2,2,1e-06,fault4,0.30694441527896527,0.14972386132168655,0.038984104,0,FALSE,
452523.6,6782712,-6373.7324,0.388977806,0.470176227,0.44899764,fault4,fault4,2,2,1e-06,fault4,0.2777556120198988,0.1468889775519211,0.052315701,0,FALSE,
451972.4,6782868.5,-6077.8076,0.331104179,0.486608053,0.48006847,fault4,fault4,2,2,1e-06,fault4,0.16200835765733684,0.17975263014216505,0.11445736124818932,0,FALSE,
452094.66,6782814,-6184.7236,0.343940953,0.480885788,0.46884275,fault4,fault4,2,2,1e-06,fault4,0.18768190504188392,0.16830809936792673,0.092005922,0,FALSE,
452377.25,6782820.5,-6356.2227,0.373611686,0.48156826,0.450836083,fault4,fault4,2,2,1e-06,fault4,0.2470233720417426,0.1696730434052212,0.055992587,0,FALSE,
452592.88,6782810,-6420.5137,0.396251908,0.480465805,0.444085805,fault4,fault4,2,2,1e-06,fault4,0.2923038155435602,0.16746813380651476,0.042492031,0,FALSE,
451973.84,6782994,-6060.506,0.331255373,0.499785013,0.481885063,fault4,fault4,2,2,1e-06,fault4,0.16231074525944564,0.20610654963146613,0.11809054828752068,0,FALSE,
